datetime,sentiment_score
2025-05-01 20:49:57,0.9789
2025-05-01 20:53:53,0.2158
2025-05-01 20:57:03,0.0
2025-05-01 21:05:38,0.9759
2025-05-01 21:26:09,0.0
2025-05-01 22:58:52,-0.7027
2025-05-01 23:15:14,0.9463
2025-05-01 23:50:01,0.9314
2025-05-02 03:28:41,0.0
2025-05-02 03:35:13,0.7436
2025-05-02 03:59:16,0.0
2025-05-02 04:06:37,0.9538
2025-05-02 04:37:14,0.0
2025-05-02 05:53:10,0.9961
2025-05-02 06:05:26,0.986
2025-05-02 06:06:45,0.9907
2025-05-02 07:08:46,0.9992
2025-05-02 07:08:46,0.999
2025-05-02 07:08:47,0.9985
2025-05-02 07:08:47,0.9985
2025-05-02 07:08:47,0.9984
2025-05-02 07:08:48,0.9988
2025-05-02 07:42:58,0.9989
2025-05-02 07:42:59,0.999
2025-05-02 07:43:01,0.9993
2025-05-02 07:47:11,0.9991
2025-05-02 08:00:00,0.9798
2025-05-02 09:00:00,0.9726
2025-05-02 09:00:00,-0.9317
2025-05-02 09:19:00,0.0
2025-05-02 10:06:04,-0.7927
2025-05-02 10:30:25,0.9923
2025-05-02 10:40:29,0.4215
2025-05-02 11:00:00,0.9943
2025-05-02 11:00:00,0.997
2025-05-02 11:11:14,0.9633
2025-05-02 11:30:00,0.9881
2025-05-02 11:45:00,0.9941
2025-05-02 11:52:03,-0.3843
2025-05-02 11:52:42,0.0
2025-05-02 12:04:40,0.9764
2025-05-02 12:11:00,0.9948
2025-05-02 12:55:36,0.965
2025-05-02 12:57:20,0.9976
2025-05-02 13:13:28,0.0
2025-05-02 13:14:38,0.0
2025-05-02 13:32:04,0.0
2025-05-02 13:39:00,0.0
2025-05-02 13:43:00,0.0
2025-05-02 13:48:13,0.0
2025-05-02 13:48:56,0.926
2025-05-02 13:54:04,0.9806
2025-05-02 13:54:05,-0.7184
2025-05-02 14:04:18,0.0
2025-05-02 14:23:35,0.0
2025-05-02 14:48:13,0.8919
2025-05-02 14:54:56,0.8421
2025-05-02 14:59:22,0.0
2025-05-02 15:13:12,0.6369
2025-05-02 15:25:50,0.0
2025-05-02 15:57:16,0.818
2025-05-02 16:11:30,0.9935
2025-05-02 16:29:24,0.9728
2025-05-02 16:45:42,0.0
2025-05-02 17:02:03,0.9559
2025-05-02 17:15:12,0.0
2025-05-02 18:07:43,0.3612
2025-05-02 18:22:51,0.0
2025-05-02 18:33:35,0.8885
2025-05-02 19:00:00,0.0
2025-05-02 19:03:00,0.9958
2025-05-02 19:15:38,0.0
2025-05-02 19:39:49,0.0
2025-05-02 20:17:58,0.6943
2025-05-02 20:32:10,0.5267
2025-05-02 20:43:40,0.9938
2025-05-02 20:47:07,0.9993
2025-05-02 20:57:36,0.9712
2025-05-02 21:13:26,0.0752
2025-05-02 21:15:00,0.9901
2025-05-02 21:20:54,0.9611
2025-05-05 02:29:33,0.9894
2025-05-05 06:48:42,0.9964
2025-05-05 07:20:49,0.9991
2025-05-05 07:20:56,0.999
2025-05-05 07:21:00,0.999
2025-05-05 07:21:05,0.9989
2025-05-05 07:52:48,0.9985
2025-05-05 07:52:50,0.9989
2025-05-05 07:52:50,0.9985
2025-05-05 07:52:51,0.9989
2025-05-05 07:52:54,0.9991
2025-05-05 08:10:00,0.9986
2025-05-05 09:00:00,0.9984
2025-05-05 09:00:00,0.982
2025-05-05 09:00:00,0.0
2025-05-05 09:00:00,0.9937
2025-05-05 09:00:00,0.9661
2025-05-05 09:00:00,0.9989
2025-05-05 09:00:00,0.8339
2025-05-05 09:00:00,0.0
2025-05-05 09:00:00,0.9973
2025-05-05 09:00:00,0.9992
2025-05-05 09:00:00,0.9991
2025-05-05 09:00:00,0.9986
2025-05-05 09:00:00,0.9987
2025-05-05 09:00:00,0.999
2025-05-05 09:00:00,0.9988
2025-05-05 09:00:00,0.9509
2025-05-05 09:00:00,0.9986
2025-05-05 09:00:00,0.9989
2025-05-05 09:00:00,-0.9996
2025-05-05 09:00:00,0.9992
2025-05-05 09:00:00,0.9985
2025-05-05 09:00:00,0.959
2025-05-05 09:00:00,0.9823
2025-05-05 09:00:00,-0.2641
2025-05-05 09:00:00,0.9967
2025-05-05 09:00:00,0.9901
2025-05-05 09:00:00,0.0
2025-05-05 09:00:00,0.9062
2025-05-05 09:00:00,0.9993
2025-05-05 09:00:00,0.0
2025-05-05 09:00:00,0.9968
2025-05-05 09:00:00,0.9952
